"How many hours do you spend on non-academic screen time (social media, gaming, etc.) daily?",How many glasses of water do you drink in a day?,Where is your preferred study environment?,"On a scale of 110, how confident do you feel about your academic performance?",Cluster
5.0,2.0,0.0,7.0,1
6.0,7.0,0.0,8.0,2
10.0,6.0,1.0,7.0,0
5.0,7.0,0.0,5.0,2
1.0,6.0,2.0,5.0,1
10.0,6.0,0.0,7.0,0
10.0,8.0,0.0,5.0,0
5.0,5.0,0.0,7.0,2
5.0,3.0,0.0,5.0,1
3.0,7.0,0.0,7.0,2
2.0,5.0,0.0,7.0,1
4.0,7.0,0.0,6.0,2
6.0,5.0,0.0,8.0,2
4.0,6.0,0.0,5.0,2
16.0,8.0,0.0,10.0,0
7.0,2.0,0.0,5.0,1
5.0,10.0,0.0,8.0,2
5.0,5.0,0.0,5.0,1
3.0,8.0,0.0,6.0,2
6.0,8.0,0.0,5.0,2
5.0,3.0,0.0,5.0,1
5.0,8.0,0.0,5.0,2
2.0,4.0,0.0,6.0,1
2.0,10.0,1.0,3.0,2
6.0,5.0,1.0,7.0,2
5.0,3.0,0.0,2.0,1
3.0,3.0,0.0,5.0,1
15.0,5.0,0.0,7.0,0
7.0,7.0,0.0,7.0,2
5.0,5.0,0.0,7.0,2
,,,,2
,,,,2
