"How many hours do you spend on non-academic screen time (social media, gaming, etc.) daily? ",  How many glasses of water do you drink in a day?  ,  Where is your preferred study environment?  ,"  On a scale of 1–10, how confident do you feel about your academic performance?  "
5,2,0,7
6,7,0,8
10,6,1,7
5,7,0,5
1,6,2,5
10,6,0,7
10,8,0,5
5,5,0,7
5,3,0,5
3,7,0,7
2,5,0,7
4,7,0,6
6,5,0,8
4,6,0,5
16,8,0,10
7,2,0,5
5,10,0,8
5,5,0,5
3,8,0,6
6,8,0,5
5,3,0,5
5,8,0,5
2,4,0,6
2,10,1,3
6,5,1,7
5,3,0,2
3,3,0,5
15,5,0,7
7,7,0,7
5,5,0,7
,,,
,,,
